ts_ms,distancia,banda
69976,69.63,NEAR
70126,69.54,NEAR
70277,69.56,FAR
70427,69.56,FAR
70577,72.56,FAR
70727,72.63,FAR
70878,76.69,FAR
71029,82.71,FAR
71179,82.71,FAR
71329,82.71,FAR
71479,72.63,FAR
71629,66.63,FAR
71779,59.54,FAR
71929,49.46,FAR
72079,49.46,FAR
72229,49.46,FAR
72379,45.38,FAR
72530,42.38,FAR
72680,39.38,FAR
72831,35.29,NEAR
72981,25.21,NEAR
73131,22.21,NEAR
73281,22.21,NEAR
73431,22.21,NEAR
73581,22.21,NEAR
73731,18.13,NEAR
73882,15.13,NEAR
74032,12.13,CLOSE
74182,12.13,CLOSE
74333,8.04,CLOSE
74484,8.04,CLOSE
74635,8.04,CLOSE
74786,18.13,CLOSE
74936,29.29,CLOSE
75086,39.36,CLOSE
75236,39.34,CLOSE
75386,49.37,NEAR
75537,55.50,NEAR
75687,59.46,NEAR
75837,66.63,NEAR
75987,72.65,NEAR
76137,76.63,FAR
76287,82.70,FAR
76437,82.71,FAR
76588,82.75,FAR
76738,82.75,FAR
76888,79.71,FAR
77039,72.63,FAR
77189,66.63,FAR
77339,62.55,FAR
77489,59.54,FAR
77639,55.46,FAR
77789,52.46,FAR
77940,49.46,FAR
78090,42.38,FAR
78240,35.29,FAR
78390,32.29,NEAR
78540,25.21,NEAR
78690,22.21,NEAR
78840,18.13,NEAR
78990,12.13,NEAR
79140,12.13,NEAR
79290,8.04,NEAR
79441,8.04,CLOSE
79592,8.04,CLOSE
79743,5.04,CLOSE
79894,5.04,CLOSE
80044,5.04,CLOSE
80194,12.13,CLOSE
80344,15.13,CLOSE
80495,18.13,CLOSE
80645,25.21,CLOSE
80795,29.29,CLOSE
