ts_ms,distancia,banda
66540,52.46,NEAR
66690,52.46,NEAR
66841,55.46,NEAR
66992,55.46,NEAR
67142,62.55,NEAR
67292,62.55,NEAR
67442,62.55,FAR
67592,62.55,FAR
67743,62.55,FAR
67893,62.55,FAR
68043,62.55,FAR
68193,59.54,FAR
68343,59.54,FAR
68493,55.46,FAR
68643,52.46,FAR
68793,52.46,FAR
68943,52.46,FAR
69093,52.46,FAR
69243,52.46,FAR
69393,52.46,FAR
69543,52.46,FAR
69693,49.46,FAR
69843,45.38,FAR
69993,45.38,FAR
70143,49.46,NEAR
70294,55.46,NEAR
70444,59.54,NEAR
70594,62.55,NEAR
70744,66.54,NEAR
70894,72.63,FAR
71045,76.69,FAR
71196,79.63,FAR
71346,79.71,FAR
71496,79.73,FAR
71646,69.54,FAR
71796,59.46,FAR
71946,52.46,FAR
72097,45.38,FAR
72247,42.41,FAR
72397,39.29,FAR
72547,39.36,FAR
72697,39.29,NEAR
72848,39.36,NEAR
72998,45.38,NEAR
73148,52.48,NEAR
73298,59.42,NEAR
73448,62.55,NEAR
73599,66.63,NEAR
73749,66.63,NEAR
73900,66.63,FAR
74050,69.63,FAR
74201,69.63,FAR
74351,69.63,FAR
74502,69.63,FAR
74652,69.63,FAR
74803,72.63,FAR
74953,72.63,FAR
75103,72.63,FAR
75253,72.63,FAR
75403,72.63,FAR
75553,69.63,FAR
75704,59.54,FAR
75854,52.46,FAR
76004,49.46,FAR
76154,42.38,FAR
76304,42.38,FAR
76454,42.38,FAR
76604,42.38,FAR
76754,42.38,NEAR
76904,45.38,NEAR
77054,49.46,NEAR
77204,52.46,NEAR
77354,52.46,NEAR
77504,52.46,NEAR
77654,52.46,NEAR
77804,52.46,NEAR
77954,52.46,NEAR
78104,52.46,NEAR
78254,52.46,NEAR
78404,52.46,NEAR
