ts_ms,sensor_id,valor_cm,valor_avg,estado_id,estado_nombre
25354,HCSR04_Radar,79.73,76.33,0,FAR
25505,HCSR04_Radar,76.71,77.22,0,FAR
25656,HCSR04_Radar,66.54,76.83,0,FAR
25806,HCSR04_Radar,62.53,75.57,0,FAR
25956,HCSR04_Radar,55.45,72.53,0,FAR
26106,HCSR04_Radar,49.46,68.73,0,FAR
26257,HCSR04_Radar,42.38,64.07,0,FAR
26407,HCSR04_Radar,42.31,59.39,0,FAR
26557,HCSR04_Radar,42.41,54.72,0,FAR
26707,HCSR04_Radar,39.29,50.05,0,FAR
26857,HCSR04_Radar,35.33,46.14,1,NEAR
27007,HCSR04_Radar,35.33,42.74,1,NEAR
27157,HCSR04_Radar,32.22,39.84,1,NEAR
27307,HCSR04_Radar,29.29,37.32,1,NEAR
27457,HCSR04_Radar,29.29,35.68,1,NEAR
27607,HCSR04_Radar,22.24,33.18,1,NEAR
27757,HCSR04_Radar,22.21,30.65,1,NEAR
27907,HCSR04_Radar,18.13,28.01,1,NEAR
28057,HCSR04_Radar,18.13,25.86,1,NEAR
28207,HCSR04_Radar,15.13,23.33,1,NEAR
28357,HCSR04_Radar,15.13,21.19,1,NEAR
28507,HCSR04_Radar,12.13,19.05,2,CLOSE
28657,HCSR04_Radar,12.13,16.90,2,CLOSE
28807,HCSR04_Radar,12.13,15.64,2,CLOSE
28957,HCSR04_Radar,18.16,15.13,2,CLOSE
29107,HCSR04_Radar,29.29,16.53,2,CLOSE
29257,HCSR04_Radar,32.26,18.29,2,CLOSE
29407,HCSR04_Radar,42.41,21.70,2,CLOSE
29557,HCSR04_Radar,42.39,25.11,1,NEAR
29707,HCSR04_Radar,45.36,29.27,1,NEAR
29857,HCSR04_Radar,52.51,34.31,1,NEAR
30007,HCSR04_Radar,52.50,39.36,1,NEAR
30158,HCSR04_Radar,52.46,43.65,1,NEAR
30308,HCSR04_Radar,55.51,46.93,1,NEAR
30458,HCSR04_Radar,59.46,50.33,1,NEAR
30608,HCSR04_Radar,62.58,52.85,1,NEAR
30758,HCSR04_Radar,69.63,56.25,0,FAR
30908,HCSR04_Radar,69.61,59.28,0,FAR
31059,HCSR04_Radar,69.63,61.42,0,FAR
31209,HCSR04_Radar,69.63,63.56,0,FAR
31359,HCSR04_Radar,72.63,66.09,0,FAR
31510,HCSR04_Radar,72.63,68.22,0,FAR
31660,HCSR04_Radar,72.63,69.87,0,FAR
31810,HCSR04_Radar,76.71,71.64,0,FAR
31960,HCSR04_Radar,76.71,72.52,0,FAR
32110,HCSR04_Radar,79.71,73.79,0,FAR
32260,HCSR04_Radar,79.71,75.05,0,FAR
32410,HCSR04_Radar,82.71,76.68,0,FAR
32560,HCSR04_Radar,82.71,77.94,0,FAR
32711,HCSR04_Radar,82.71,79.20,0,FAR
32861,HCSR04_Radar,72.63,79.20,0,FAR
33011,HCSR04_Radar,62.55,77.43,0,FAR
33162,HCSR04_Radar,55.46,74.78,0,FAR
33312,HCSR04_Radar,49.46,70.99,0,FAR
33463,HCSR04_Radar,42.38,66.33,0,FAR
33613,HCSR04_Radar,39.38,60.91,0,FAR
33763,HCSR04_Radar,35.29,54.98,0,FAR
33914,HCSR04_Radar,32.29,48.68,1,NEAR
34064,HCSR04_Radar,32.29,43.64,1,NEAR
34214,HCSR04_Radar,29.29,39.48,1,NEAR
34364,HCSR04_Radar,29.29,36.21,1,NEAR
34515,HCSR04_Radar,29.29,33.69,1,NEAR
34666,HCSR04_Radar,22.21,31.17,1,NEAR
34816,HCSR04_Radar,22.21,29.02,1,NEAR
34966,HCSR04_Radar,22.21,27.39,1,NEAR
35116,HCSR04_Radar,18.13,25.62,1,NEAR
35266,HCSR04_Radar,15.13,23.47,1,NEAR
35416,HCSR04_Radar,8.04,20.81,1,NEAR
35566,HCSR04_Radar,8.04,18.16,2,CLOSE
35716,HCSR04_Radar,8.04,15.50,2,CLOSE
35866,HCSR04_Radar,8.04,13.73,2,CLOSE
36017,HCSR04_Radar,12.13,12.47,2,CLOSE
36167,HCSR04_Radar,22.17,12.47,2,CLOSE
36318,HCSR04_Radar,29.28,13.86,2,CLOSE
36468,HCSR04_Radar,39.31,16.88,2,CLOSE
36618,HCSR04_Radar,45.43,21.56,2,CLOSE
36768,HCSR04_Radar,52.50,27.11,1,NEAR
36918,HCSR04_Radar,55.46,33.04,1,NEAR
37069,HCSR04_Radar,55.46,38.97,1,NEAR
37219,HCSR04_Radar,55.46,44.38,1,NEAR
37369,HCSR04_Radar,69.63,50.32,1,NEAR
37519,HCSR04_Radar,72.63,55.74,0,FAR
37670,HCSR04_Radar,72.63,59.90,0,FAR
37820,HCSR04_Radar,72.63,63.30,0,FAR
37970,HCSR04_Radar,79.71,66.70,0,FAR
38120,HCSR04_Radar,86.80,70.62,0,FAR
38271,HCSR04_Radar,86.80,74.54,0,FAR
38421,HCSR04_Radar,86.80,78.45,0,FAR
38572,HCSR04_Radar,82.71,80.09,0,FAR
38722,HCSR04_Radar,76.71,80.60,0,FAR
38872,HCSR04_Radar,66.63,79.85,0,FAR
39022,HCSR04_Radar,59.54,78.21,0,FAR
39172,HCSR04_Radar,52.46,74.81,0,FAR
39323,HCSR04_Radar,49.46,70.14,0,FAR
39473,HCSR04_Radar,42.38,64.59,0,FAR
39623,HCSR04_Radar,42.38,59.03,0,FAR
39774,HCSR04_Radar,39.38,53.62,0,FAR
39924,HCSR04_Radar,29.29,47.69,1,NEAR
40075,HCSR04_Radar,29.29,43.02,1,NEAR
40226,HCSR04_Radar,29.29,39.24,1,NEAR
40376,HCSR04_Radar,22.21,35.46,1,NEAR
40527,HCSR04_Radar,18.13,31.54,1,NEAR
40677,HCSR04_Radar,15.13,28.14,1,NEAR
40827,HCSR04_Radar,15.16,24.73,1,NEAR
40977,HCSR04_Radar,15.13,21.70,1,NEAR
41127,HCSR04_Radar,15.13,19.93,2,CLOSE
41278,HCSR04_Radar,15.16,18.17,2,CLOSE
41428,HCSR04_Radar,18.16,16.77,2,CLOSE
41578,HCSR04_Radar,29.21,17.65,2,CLOSE
41728,HCSR04_Radar,32.31,19.42,2,CLOSE
41879,HCSR04_Radar,39.26,22.44,2,CLOSE
42029,HCSR04_Radar,42.38,25.84,1,NEAR
42179,HCSR04_Radar,52.46,30.51,1,NEAR
42329,HCSR04_Radar,55.46,35.55,1,NEAR
42479,HCSR04_Radar,55.46,40.59,1,NEAR
42629,HCSR04_Radar,55.46,45.25,1,NEAR
42779,HCSR04_Radar,59.54,49.04,1,NEAR
42930,HCSR04_Radar,59.54,52.45,1,NEAR
43081,HCSR04_Radar,59.54,54.98,1,NEAR
43232,HCSR04_Radar,66.63,58.01,0,FAR
43382,HCSR04_Radar,66.63,59.78,0,FAR
43532,HCSR04_Radar,69.63,61.56,0,FAR
43682,HCSR04_Radar,69.63,63.33,0,FAR
43832,HCSR04_Radar,82.71,66.73,0,FAR
43983,HCSR04_Radar,82.71,69.63,0,FAR
44133,HCSR04_Radar,82.71,72.53,0,FAR
44283,HCSR04_Radar,82.71,75.42,0,FAR
44433,HCSR04_Radar,82.71,77.43,0,FAR
44584,HCSR04_Radar,79.87,79.09,0,FAR
44734,HCSR04_Radar,76.69,79.97,0,FAR
44884,HCSR04_Radar,72.65,80.35,0,FAR
45034,HCSR04_Radar,72.63,79.09,0,FAR
45185,HCSR04_Radar,66.54,77.07,0,FAR
45335,HCSR04_Radar,55.39,73.65,0,FAR
45485,HCSR04_Radar,52.46,69.87,0,FAR
45635,HCSR04_Radar,49.46,65.71,0,FAR
45786,HCSR04_Radar,49.44,61.91,0,FAR
45936,HCSR04_Radar,45.41,58.00,0,FAR
46086,HCSR04_Radar,42.41,54.22,0,FAR
46236,HCSR04_Radar,35.33,49.56,1,NEAR
46386,HCSR04_Radar,29.29,44.90,1,NEAR
46536,HCSR04_Radar,29.29,41.64,1,NEAR
46686,HCSR04_Radar,25.21,38.23,1,NEAR
46836,HCSR04_Radar,25.21,35.20,1,NEAR
46986,HCSR04_Radar,18.13,31.29,1,NEAR
47137,HCSR04_Radar,18.13,27.88,1,NEAR
47287,HCSR04_Radar,18.16,24.84,1,NEAR
47437,HCSR04_Radar,15.13,22.32,1,NEAR
47587,HCSR04_Radar,15.13,20.55,1,NEAR
47738,HCSR04_Radar,15.09,18.77,2,CLOSE
47888,HCSR04_Radar,15.16,17.52,2,CLOSE
48039,HCSR04_Radar,15.13,16.26,2,CLOSE
48189,HCSR04_Radar,8.04,15.00,2,CLOSE
48339,HCSR04_Radar,8.04,13.74,2,CLOSE
48489,HCSR04_Radar,8.04,12.47,2,CLOSE
48639,HCSR04_Radar,8.04,11.58,2,CLOSE
48789,HCSR04_Radar,18.13,11.96,2,CLOSE
48939,HCSR04_Radar,25.21,13.22,2,CLOSE
49089,HCSR04_Radar,35.29,15.74,2,CLOSE
49240,HCSR04_Radar,39.38,18.77,2,CLOSE
49390,HCSR04_Radar,45.38,23.44,1,NEAR
49541,HCSR04_Radar,52.46,28.99,1,NEAR
49691,HCSR04_Radar,55.46,34.92,1,NEAR
49841,HCSR04_Radar,59.54,41.36,1,NEAR
49991,HCSR04_Radar,62.55,46.91,1,NEAR
50141,HCSR04_Radar,66.63,52.09,1,NEAR
50291,HCSR04_Radar,66.63,56.00,0,FAR
50442,HCSR04_Radar,66.63,59.41,0,FAR
50592,HCSR04_Radar,69.63,62.44,0,FAR
50743,HCSR04_Radar,69.63,64.59,0,FAR
50893,HCSR04_Radar,79.71,67.62,0,FAR
51043,HCSR04_Radar,79.71,70.14,0,FAR
51193,HCSR04_Radar,82.71,72.66,0,FAR
51344,HCSR04_Radar,86.71,75.17,0,FAR
51494,HCSR04_Radar,86.71,77.68,0,FAR
51644,HCSR04_Radar,86.78,80.20,0,FAR
51794,HCSR04_Radar,79.71,81.46,0,FAR
51945,HCSR04_Radar,69.63,81.46,0,FAR
52095,HCSR04_Radar,62.55,79.31,0,FAR
52246,HCSR04_Radar,59.53,76.79,0,FAR
52397,HCSR04_Radar,55.48,73.39,0,FAR
52547,HCSR04_Radar,49.37,68.72,0,FAR
52697,HCSR04_Radar,45.43,63.56,0,FAR
52847,HCSR04_Radar,42.34,58.01,0,FAR
52997,HCSR04_Radar,39.38,52.96,0,FAR
53147,HCSR04_Radar,32.29,48.30,1,NEAR
53298,HCSR04_Radar,29.28,44.14,1,NEAR
53448,HCSR04_Radar,29.22,40.35,1,NEAR
53598,HCSR04_Radar,29.22,37.07,1,NEAR
53748,HCSR04_Radar,25.33,34.06,1,NEAR
53899,HCSR04_Radar,25.21,31.53,1,NEAR
54050,HCSR04_Radar,25.21,29.39,1,NEAR
54201,HCSR04_Radar,22.21,27.25,1,NEAR
54351,HCSR04_Radar,18.13,25.48,1,NEAR
54501,HCSR04_Radar,15.13,23.71,1,NEAR
54652,HCSR04_Radar,12.13,21.57,1,NEAR
54802,HCSR04_Radar,12.13,19.43,2,CLOSE
54952,HCSR04_Radar,12.13,17.78,2,CLOSE
55103,HCSR04_Radar,12.13,16.15,2,CLOSE
55253,HCSR04_Radar,18.13,15.26,2,CLOSE
55404,HCSR04_Radar,29.29,16.15,2,CLOSE
55555,HCSR04_Radar,32.29,17.92,2,CLOSE
55705,HCSR04_Radar,42.38,21.32,2,CLOSE
55855,HCSR04_Radar,45.38,25.48,1,NEAR
56005,HCSR04_Radar,52.46,30.52,1,NEAR
56156,HCSR04_Radar,55.50,35.94,1,NEAR
56306,HCSR04_Radar,55.46,41.36,1,NEAR
56456,HCSR04_Radar,59.46,46.53,1,NEAR
56606,HCSR04_Radar,66.56,51.19,1,NEAR
56756,HCSR04_Radar,69.54,55.84,0,FAR
56906,HCSR04_Radar,72.66,59.63,0,FAR
57056,HCSR04_Radar,72.63,63.03,0,FAR
57206,HCSR04_Radar,72.66,65.56,0,FAR
57356,HCSR04_Radar,76.71,68.21,0,FAR
