ts_ms,humedad,humedad_avg,estado
167821,69.500,66.438,OK
168322,68.000,65.563,OK
168822,67.000,64.563,OK
169322,67.000,64.438,OK
169822,69.000,65.625,OK
170322,69.000,67.125,OK
170822,75.000,68.938,OK
171322,67.000,68.938,OK
171823,68.000,68.750,OK
172323,73.000,69.375,OK
172823,71.500,69.938,OK
173323,68.000,70.063,ALERT
173823,71.500,70.375,ALERT
174323,69.000,70.375,ALERT
174823,67.000,69.375,ALERT
175324,67.000,69.375,ALERT
175824,66.500,69.188,ALERT
176324,63.000,67.938,OK
176824,63.000,66.875,OK
177325,66.500,66.688,OK
177825,71.500,66.688,OK
178325,74.000,67.313,OK
178825,73.000,68.063,OK
179325,69.500,68.375,OK
179826,64.500,68.125,OK
180326,61.000,67.875,OK
180826,67.000,68.375,OK
181326,73.000,69.188,OK
181827,73.000,69.375,OK
182328,73.000,69.250,OK
182829,73.000,69.250,OK
183329,78.000,70.313,ALERT
183829,78.000,72.000,ALERT
184329,67.000,72.750,ALERT
184829,67.000,72.750,ALERT
185329,67.000,72.000,ALERT
185829,61.000,70.500,ALERT
186329,61.000,69.000,ALERT
186829,61.000,67.500,OK
187329,61.000,65.375,OK
187829,79.000,65.500,OK
188329,79.000,67.000,OK
188829,79.000,68.500,OK
189330,71.500,69.063,OK
189831,71.500,70.375,ALERT
190332,71.500,71.688,ALERT
190832,71.500,73.000,ALERT
191332,75.500,74.813,ALERT
191832,75.500,74.375,ALERT
192332,75.500,73.938,ALERT
192832,68.000,72.563,ALERT
193332,68.000,72.125,ALERT
193833,61.000,70.813,ALERT
194333,61.000,69.500,ALERT
194833,61.000,68.188,ALERT
195333,64.500,66.813,OK
195833,64.500,65.438,OK
196333,64.500,64.063,OK
196834,64.500,63.625,OK
197334,78.000,64.875,OK
197834,78.000,67.000,OK
198334,78.000,69.125,OK
198834,78.000,71.250,ALERT
199334,84.000,73.688,ALERT
199835,84.000,76.125,ALERT
200335,84.000,78.563,ALERT
200835,84.000,81.000,ALERT
201335,75.500,80.688,ALERT
201835,75.500,80.375,ALERT
202336,75.500,80.063,ALERT
202837,67.000,78.688,ALERT
203338,67.000,76.563,ALERT
203838,67.000,74.438,ALERT
204338,67.000,72.313,ALERT
204838,67.000,70.188,ALERT
205338,67.000,69.125,ALERT
205838,67.000,68.063,ALERT
206338,67.000,67.000,OK
206839,67.000,67.000,OK
207339,67.000,67.000,OK
207839,67.000,67.000,OK
208339,75.500,68.063,OK
208839,75.500,69.125,OK
209339,68.000,69.250,OK
209839,74.000,70.125,ALERT
210339,69.500,70.438,ALERT
210839,64.500,70.125,ALERT
211339,64.000,69.750,ALERT
211839,64.500,69.438,ALERT
212340,66.500,68.313,ALERT
212841,66.500,67.188,OK
213341,66.500,67.000,OK
213841,64.000,65.750,OK
214341,63.000,64.938,OK
214841,68.000,65.375,OK
215341,69.000,66.000,OK
215842,71.500,66.875,OK
216343,72.500,67.625,OK
216844,72.500,68.375,OK
217344,72.500,69.125,OK
217844,70.500,69.938,OK
218344,70.500,70.875,ALERT
218844,69.500,71.063,ALERT
219345,60.500,70.000,ALERT
219845,57.000,68.188,ALERT
220345,57.000,66.250,OK
220845,64.000,65.188,OK
221345,70.500,64.938,OK
221845,72.500,65.188,OK
222345,72.500,65.438,OK
222845,68.000,65.250,OK
223346,69.500,66.375,OK
223846,76.500,68.813,OK
224347,75.500,71.125,ALERT
224848,75.500,72.563,ALERT
225349,76.500,73.313,ALERT
225850,73.000,73.375,ALERT
226351,71.500,73.250,ALERT
226852,67.000,73.125,ALERT
227353,64.500,72.500,ALERT
227853,62.000,70.688,ALERT
228353,69.000,69.875,ALERT
228853,68.000,68.938,ALERT
229353,66.500,67.688,OK
229853,64.000,66.563,OK
230354,69.500,66.313,OK
230854,69.500,66.625,OK
231354,69.000,67.188,OK
231854,75.000,68.813,OK
232355,73.000,69.313,OK
232855,72.500,69.875,OK
233355,70.500,70.375,ALERT
233855,73.000,71.500,ALERT
234355,69.500,71.500,ALERT
234856,64.000,70.813,ALERT
235356,65.500,70.375,ALERT
235856,69.000,69.625,ALERT
236357,64.500,68.563,ALERT
